id;name;price;brand;category
1;and loftily Maryland;92541;pink;lime Smart
2;UDP olive;65090;HEX;Terbium invoice Flerovium
3;aw Blues Cruiser;55399;Senior;West
4;Consultant invoice;68821;Gloves;Rustic deposit
5;libero Gasoline South;69210;however;Sedan Noblesville
6;Account;65469;behold;pink Fantastic Customer
7;crisp Grove;45356;haptic Rubber;Human Designer Borders
8;drive;43311;payment;incidentally
9;Agent lavender wisely;409;teal female CSS;Bentley
10;port Lac;43974;leverage Savings;recontextualize
